Title,Rating TripAvisdor,Voters TripAvisdor
 The Leopard at des Artistes,4.5,300
Piccola Cucina Osteria,4.5,2579
 Zuma,4.0,786
 Benito One,4.5,1440
 Pi Greek Bakerie,4.5,143
 O'Reilly's Bar & Kitchen,4.5,372
 Pongsri Thai Restaurant,4.0,739
Margaritaville Restaurant- Times Square,3.5,12
 Balthazar,4.5,6387
 Carragher's Pub & Restaurant,4.5,519
 The Smith,4.0,427
 Jackson Hole Burgers,4.5,829
 Red Rooster,4.0,2547
5 o'Clock Somewhere Bar,4.0,4
 Park Avenue Tavern,4.0,514
 Zero Otto Nove,4.5,264
 Brazil Brazil,4.0,768
 Ruth's Chris Steak House,4.5,1515
 Dim Sum Palace,4.0,319
Quality Bistro,4.5,30
 Carmine's Italian Restaurant - Upper West Side,4.5,1883
 The Palm - Palm West,4.5,657
 Calle Ocho,4.0,464
 Joe Allen,4.0,1046
 Pazza Notte,4.0,1114
Quality Italian,4.0,833
Piccola Cucina Osteria,4.5,2579
 Refinery Rooftop,4.0,794
 The Skylark,4.5,359
 Niles Bar & Restaurant,4.0,667
 Loeb Boathouse Central Park,4.0,3806
 Main Noodle House,4.0,319
Quality Meats,4.5,2378
 Dolly Varden,4.0,316
 The Keg Room,4.0,823
 O'Lunney's,4.0,975
 Jane Restaurant,4.0,452
 Employees Only,4.5,419
ICHIRAN Times Square,4.5,59
 Barbuto,4.5,575
 Connolly's Pub & Restaurant,4.0,1641
 The Smith,4.0,1765
 Tony's Di Napoli,4.0,597
 R Lounge at Two Times Square,4.0,578
LandShark Bar & Grill - Times Square,5.0,4
 The Rum House,4.0,561
 Koi,4.0,832
 Zabar's,4.5,522
 aldea,4.5,334
 Lafayette Grand Cafe and Bakery,4.0,586
Quality Bistro,4.5,30
 Havana NY,4.5,266
 Margherita NYC,4.5,280
 Beyond Sushi,4.5,89
 Minetta Tavern,4.0,1145
 La Pulperia,4.5,265
Margaritaville Restaurant- Times Square,3.5,12
 Cipriani Wall St,4.0,454
 The Smith,4.0,876
 Azalea Ristorante,4.5,826
 Sparks Steak House,4.0,1433
 Metro Diner,4.0,481
